,,,under tree,under tree,under tree,under tree,open,open,open,open,open,open,,,,,
,,DEPTHS( cm),5,5,10,20,5,10,20,70,100,130,,,,,
Year,DOY,precip (mm),vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,averageShallow,averageDeep,shallowMinusDeep,maxAirTemp,minAirTemp
2015,75,0,0.04224903,0.044927019,0.045756403,0.046202905,0.042432041,0.043848052,0.100067454,0.099989512,0.070773398,0.05274114,0.052211844,0.07450135,-0.022289506,26.69,14.95
2015,76,0,0.041119374,0.043719879,0.043914989,0.045883097,0.04150078,0.042329728,0.098689194,0.099470707,0.071043273,0.052739428,0.051022434,0.074417803,-0.023395368,25.18,12.52
2015,77,2.032,0.04161303,0.043316042,0.04271584,0.0456853,0.045793677,0.045254878,0.097335353,0.09880694,0.07122617,0.05268263,0.051673446,0.07423858,-0.022565134,18.41,10.03
2015,78,0.254,0.043125161,0.043508818,0.04249509,0.045824176,0.059273411,0.055997706,0.096664522,0.098040081,0.071435785,0.052711804,0.055269841,0.074062557,-0.018792716,18.67,8.52
2015,79,0.254,0.043643986,0.043362753,0.042323244,0.045586305,0.057322034,0.055209017,0.096409162,0.097216922,0.071556117,0.052782049,0.054836643,0.073851696,-0.019015053,22.92,7.725
2015,80,0,0.043290912,0.042660588,0.041920839,0.045111868,0.052916011,0.051933997,0.095989545,0.096521221,0.071608997,0.052837864,0.053403394,0.073656027,-0.020252633,23.8,9.46
2015,81,0,0.0420903,0.041896303,0.041188746,0.04467932,0.048110976,0.04780344,0.095546969,0.095876798,0.071738983,0.052832557,0.051616579,0.073482779,-0.0218662,26.51,10.72
2015,82,0,0.040653069,0.040968898,0.040167953,0.044274149,0.043698882,0.04373378,0.094787589,0.095151286,0.071832739,0.052860725,0.049754903,0.073281583,-0.02352668,27.01,11.91
2015,83,0,0.039491387,0.04009949,0.03899488,0.043905009,0.040285304,0.040504942,0.094015498,0.094373366,0.0718952,0.052834368,0.048185216,0.073034311,-0.024849095,27.1,10.32
2015,84,0,0.03838355,0.039023733,0.037735515,0.043524615,0.037768738,0.037786089,0.093136675,0.093502995,0.071847616,0.052836725,0.046765559,0.072729112,-0.025963553,25.07,10.42
2015,85,0,0.037511973,0.038159571,0.036590502,0.043106317,0.035485477,0.035437392,0.092342726,0.092613488,0.071797112,0.052835179,0.045519137,0.072415259,-0.026896123,27.43,11.89
2015,86,0,0.036599678,0.037149697,0.035586972,0.042691661,0.033380354,0.032935381,0.091415273,0.091647494,0.071680373,0.052885937,0.044251288,0.072071268,-0.02781998,31.67,12.18
2015,87,0,0.035604634,0.036124419,0.034548549,0.042285683,0.031617401,0.030599728,0.090447365,0.090638545,0.071510823,0.052881238,0.04303254,0.071676868,-0.028644328,31.31,13.35
2015,88,0,0.03482107,0.035153227,0.033654265,0.041890498,0.030656794,0.028909195,0.089284103,0.089625105,0.071328964,0.052880056,0.042052736,0.071278042,-0.029225306,30.54,15.73
2015,89,0,0.034369571,0.034411598,0.03293971,0.041558202,0.029880689,0.027601371,0.088282563,0.088597569,0.07110411,0.052853416,0.041291958,0.070851698,-0.029559741,30.53,17.13
2015,90,0,0.034138145,0.033842859,0.032436682,0.041125095,0.029775555,0.026807287,0.087185781,0.087479767,0.070824647,0.05287722,0.040758772,0.070393878,-0.029635106,27.99,14.74
2015,91,0,0.034035694,0.033431168,0.032056855,0.040822389,0.029542303,0.02611688,0.086281969,0.086394123,0.070366735,0.052876272,0.040326751,0.069879043,-0.029552292,28.25,12.35
2015,92,0,0.03386913,0.033086214,0.031615313,0.040450342,0.029089162,0.025210922,0.085250304,0.085296492,0.069805176,0.052861712,0.039795912,0.069321127,-0.029525214,28.05,10.23
2015,93,0,0.033731633,0.032703869,0.031260691,0.040068678,0.029197774,0.024787689,0.084189942,0.084132189,0.069304162,0.052888178,0.039420039,0.068774843,-0.029354804,27.81,11.48
2015,94,0,0.03356268,0.032417187,0.031022432,0.039714228,0.028520092,0.024372445,0.083444472,0.083065545,0.068851044,0.052961039,0.039007648,0.068292543,-0.029284895,28.57,12.76
2015,95,0,0.033211658,0.031975295,0.030598899,0.03933885,0.028134268,0.023694444,0.082423805,0.081942306,0.068291665,0.052943691,0.03848246,0.067725887,-0.029243428,27.75,9.99
2015,96,0,0.033238069,0.031799452,0.030316169,0.03898192,0.028140854,0.023363525,0.081490942,0.080973385,0.067733339,0.052975788,0.038190133,0.067227504,-0.029037371,26.91,10.78
2015,97,0,0.032956813,0.031422087,0.029967384,0.038584058,0.027758218,0.022857754,0.080538745,0.079943705,0.067118261,0.053005693,0.037726437,0.06668922,-0.028962783,27.42,9.91
2015,98,0,0.032902459,0.031133734,0.029664516,0.038131522,0.027934404,0.022676157,0.07945848,0.078944889,0.066678153,0.053010307,0.037414468,0.066211116,-0.028796649,24.85,8.26
2015,99,0,0.033086206,0.031131626,0.029739314,0.037783488,0.027856542,0.022547916,0.078548511,0.078101128,0.066214044,0.053056731,0.037241943,0.065790634,-0.028548691,27.63,7.186
2015,100,0,0.032765586,0.030918031,0.029510893,0.037440646,0.02735061,0.022050734,0.077568603,0.077158584,0.065629278,0.053069514,0.036800729,0.065285792,-0.028485063,27.89,9.19
2015,101,0,0.032436487,0.030536032,0.029210292,0.037000151,0.026640444,0.021551275,0.076463436,0.07631872,0.065030764,0.0530394,0.036262588,0.064796295,-0.028533707,28.1,10.55
2015,102,12.192,0.057817446,0.077168292,0.059758919,0.036838026,0.063532058,0.056991527,0.079506153,0.075810828,0.064829213,0.053055425,0.061658917,0.064565155,-0.002906238,17.4,10.33
2015,103,0,0.068262222,0.09094962,0.077413713,0.037747728,0.077318699,0.075763779,0.086334739,0.075216376,0.064487031,0.053132608,0.073398643,0.064278672,0.009119971,26.54,10.06
2015,104,0,0.067719699,0.082210093,0.074454021,0.037854411,0.066881754,0.068403964,0.086384829,0.074527388,0.063865447,0.053198066,0.069129824,0.063863634,0.005266191,28.57,15.22
2015,105,0,0.066804837,0.074389899,0.070331378,0.038048747,0.059278062,0.061027621,0.085125011,0.074068862,0.063260512,0.053236919,0.065000794,0.063522098,0.001478696,26.51,13.8
2015,106,0,0.065094214,0.068464048,0.066769323,0.03845981,0.053810644,0.055656613,0.08404423,0.073637819,0.062893742,0.05320224,0.061756983,0.0632446,-0.001487617,20.1,3.014
2015,107,0,0.062749098,0.064012694,0.06401334,0.038754653,0.049088206,0.051487642,0.083508593,0.073171884,0.06259079,0.053221767,0.059087746,0.062994813,-0.003907067,21.66,5.904
2015,108,0,0.059829599,0.059888606,0.06130352,0.038925543,0.044421642,0.047129771,0.082912809,0.072691533,0.062134065,0.053248334,0.056344498,0.062691311,-0.006346812,25.41,8.55
2015,109,0,0.056602533,0.056313723,0.058543389,0.039032527,0.039894619,0.042583326,0.082205446,0.072267289,0.061682873,0.053284362,0.053596509,0.062411508,-0.008814999,28.34,11.54
2015,110,0,0.053299423,0.053158255,0.055874342,0.039117083,0.036182455,0.038543114,0.08136368,0.071824576,0.061253139,0.053280731,0.051076907,0.062119482,-0.011042574,28.1,11.4
2015,111,0,0.050012742,0.050592543,0.053314224,0.039192531,0.033282402,0.03509717,0.080593829,0.071378662,0.06089951,0.053219921,0.048869349,0.061832698,-0.012963349,26.99,10.76
2015,112,0,0.047160691,0.048542948,0.05100823,0.039237909,0.031708668,0.032424857,0.079821177,0.070914913,0.060528185,0.053239131,0.047129211,0.061560743,-0.014431532,26.7,9.78
2015,113,0,0.044780789,0.046986214,0.048899428,0.039246703,0.030982299,0.030398643,0.079112771,0.070470642,0.060197119,0.05322341,0.045772407,0.061297057,-0.01552465,24.84,9.79
